"Time","Ig:Measured current","Iout:Measured current","Iinductor:Measured current","V_Isense:Measured voltage","Vout:Measured voltage","Vdrain:Measured voltage"
0.0093368650276658225,0,1.4701704875216368,1.2163102637610259,0,10.012057042754014,18
0.0093380513297685614,0,1.4687170874386297,0.72162740572104322,0,10.002159194402058,18
0.009339237631871302,0,1.4658346225688363,0.22767657959585463,0,9.9825292243101149,18
0.0093397853454147538,0,1.4640234537488865,5.5257132203223591e-11,0,9.9701949231570808,18
0.009339785345415021,0,1.4640234537479291,0,0,9.9701949231505616,8.0298050768494384
0.0093410787798133086,0,1.4593964656206289,0,0,9.9386845170718967,8.0613154829281033
0.0093420790027444398,0,1.4558284085634019,0,0,9.9143855727712396,8.0856144272287604
0.0093420790027447069,0,1.45582840856245,0,0,9.9143855727647576,8.0856144272352424
0.0093424257060890602,0,1.4545936640079671,0,0,9.9059767977161215,8.0940232022838785
0.0093424257060893273,0,1.4545936640070161,0,0,9.9059767977096449,0
0.0093436246963008712,0.40451625025349963,1.450924509474911,0.40451625025349963,0.020225812512674982,9.8809893661254051,0.020225812512674982
0.009344823686512415,0.80906899173043567,1.448451463922283,0.80906899173043567,0.040453449586521785,9.8641475961726002,0.040453449586521785
0.0093460226767239588,1.2132491932010603,1.4471705242267161,1.2132491932010603,0.060662459660053014,9.8554242260538309,0.060662459660053014
0.0093472216669355027,1.6166520351038167,1.4470765378509329,1.6166520351038167,0.080832601755190844,9.8547841663032312,0.080832601755190844
0.0093484206571470465,2.0188769095453378,1.4481632028427918,2.0188769095453378,0.1009438454772669,9.8621844997864549,0.1009438454772669
0.0093496196473585903,2.4195274203004482,1.4504230678352876,2.4195274203004482,0.12097637101502241,9.8775744817006839,0.12097637101502241
0.0093508186375701342,2.8182113828121627,1.4538475320465529,2.8182113828121627,0.14091056914060815,9.9008955395746288,0.14091056914060815
0.009352017627781678,3.2145408241916864,1.4584268452798563,3.2145408241916864,0.16072704120958434,9.9320812732685226,0.16072704120958434
0.0093523879771544791,3.3364250287558925,1.460073108110076,3.3364250287558925,0.16682125143779464,9.9432925426440288,0.16682125143779464
0.0093523879771547462,0,1.460073108111303,3.3364250288437156,0,9.9432925426523848,18
0.0093527347044247006,0,1.4616036794380789,3.1926978630945033,0,9.9537159374639064,18
0.0093527347044250787,0,1.4616036794396812,3.1926978629376612,0,9.9537159374748185,18
0.0093539210065278055,0,1.4659080024101792,2.6999251644759581,0,9.9830289508136385,18
0.0093551073086305322,0,1.4687694761441805,2.2059439310631399,0,10.00251596847202,18
0.009356293610733259,0,1.4701894451156783,1.7112432264428108,0,10.012186146497115,18
0.0093574799128359858,0,1.4701706548655396,1.2163094998341899,0,10.012058182388303,18
0.0093586662149387125,0,1.4687172520015084,0.72162658593211226,0,10.002160315097203,18
0.0093598525170414393,0,1.4658347841982033,0.22767570490702882,0,9.9825303250276551,18
0.0093604002284192727,0,1.4640236217328557,1.7896795156957523e-13,0,9.9701960671503098,18
0.0093604002284195399,0,1.4640236217318987,0,0,9.9701960671437924,8.0298039328562076
0.0093616936628178257,0,1.4593966330736972,0,0,9.9386856574496178,8.0613143425503822
0.0093626938879112446,0,1.4558285679030571,0,0,9.9143866578955375,8.0856133421044625
0.0093626938879115117,0,1.4558285679021055,0,0,9.9143866578890556,8.0856133421109444
0.0093630405912557366,0,1.4545938232129374,0,0,9.9059778819231958,8.0940221180768042
0.0093630405912560038,0,1.4545938232119864,0,0,9.9059778819167192,0
0.0093642395814646472,0.40451619526570792,1.4509246681415859,0.40451619526570792,0.020225809763285398,9.8809904466666172,0.020225809763285398
0.0093654385716732923,0.80906888210208749,1.4484516218887304,0.80906888210208749,0.040453444105104375,9.8641486719451699,0.040453444105104375
0.0093666375618819357,1.2132490293347125,1.447170681332596,1.2132490293347125,0.060662451466735628,9.8554252959658211,0.060662451466735628
0.009367836552090579,1.6166518174564122,1.447076693937646,1.6166518174564122,0.080832590872820617,9.8547852292745581,0.080832590872820617
0.0093690355422992241,2.0188766386272707,1.4481633577536308,2.0188766386272707,0.10094383193136354,9.8621855547499244,0.10094383193136354
0.0093702345325078675,2.4195270966746292,1.4504232214155888,2.4195270966746292,0.12097635483373147,9.8775755276030122,0.12097635483373147
0.0093714335227165126,2.8182110070930819,1.4538476841438439,2.8182110070930819,0.14091055035465411,9.9008965753774607,0.14091055035465411
0.009372632512925156,3.2145403970444821,1.458426995744009,3.2145403970444821,0.16072701985222412,9.9320822979494654,0.16072701985222412
0.0093730028623184303,3.3364245928907339,1.4600732581379483,3.3364245928907339,0.16682122964453672,9.9432935643538443,0.16682122964453672
0.0093730028623188154,0,1.4600732581397169,3.3364245930173357,0,9.943293564365888,18
0.0093733495895886431,0,1.4616038289627808,3.1926974125845895,0,9.9537169557470637,18
0.0093733495895889102,0,1.4616038289639126,3.1926974124737928,0,9.9537169557547713,18
0.0093745358916916318,0,1.4659081501222757,2.6999246639821335,0,9.983029956752711,18
0.0093757221937943534,0,1.4687696219052651,2.2059433811725198,0,10.00251696112444,18
0.0093769084958970749,0,1.4701895887891911,1.7112426278352846,0,10.012187124932895,18
0.0093780947979997982,0,1.470170796317358,1.2163088532353923,0,10.012059145694048,18
0.0093792811001025198,0,1.4687173911000624,0.72162589211244299,0,10.002161262376902,18
0.0093804674022052413,0,1.4658349208145947,0.22767496468066906,0,9.9825312554034955,18
0.0093810151117503168,0,1.4640237637274041,1.2567724638756772e-13,0,9.9701970341521164,18
0.009381015111750584,0,1.4640237637264468,0,0,9.9701970341455972,8.0298029658544028
0.0093823085461490017,0,1.459396774619006,0,0,9.9386866213920442,8.0613133786079558
0.0093833087730669975,0,1.4558287026015215,0,0,9.9143875752100392,8.0856124247899608
0.0093833087730672646,0,1.4558287026005696,0,0,9.9143875752035573,8.0856124247964427
0.0093836554764114965,0,1.4545939577971341,0,0,9.90597879845952,8.09402120154048
