"Time","Ig:Measured current","Iinductor:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0016996000000000001,15.418008681748589,15.418008681748589,9.7297469537749084,90.254835037543344,9.7297469537749084
0.0016999999999999518,19.027579247631291,19.027579247631291,9.7596645250105603,90.221307895741802,9.7596645250105603
0.0017000000000000001,0,19.027579248067557,9.759664525015042,-9.759664525015042,9.759664525015042
0.0017036000000000002,0,15.461941926684025,10.024261476957363,-10.024261476957363,10.024261476957363
0.0017072000000000001,0,11.825820666669831,10.152060575959799,-10.152060575959799,10.152060575959799
0.0017108000000000002,0,8.1683640570855616,10.146211233978278,-10.146211233978278,10.146211233978278
0.0017144,0,4.5365876468214541,10.011465872439464,-10.011465872439464,10.011465872439464
0.0017179999999999513,0,0.97537394464497851,9.7541799222450436,-9.7541799222450436,9.7541799222450436
0.0017180000000000001,0.97537394459738636,0.97537394459738636,9.7541799222407608,90.244844703814636,9.7541799222407608
0.0017184000000000001,4.5857007751991592,4.5857007751991592,9.7263455574832811,90.269068741741521,9.7263455574832811
0.0017188000000000001,8.196705852080882,8.196705852080882,9.7130363159039916,90.278766978243922,9.7130363159039916
0.0017192000000000002,11.807809227247285,11.807809227247285,9.7141957536133745,90.273996437159383,9.7141957536133745
0.0017196000000000002,15.418433365945912,15.418433365945912,9.7297653584585486,90.254816208175498,9.7297653584585486
0.0017199999999999514,19.028003146226919,19.028003146226919,9.7596845500187488,90.221287446835021,9.7596845500187488
0.0017200000000000002,0,19.028003146667103,9.7596845500232714,-9.7596845500232714,9.7596845500232714
0.0017236000000000003,0,15.462356047003306,10.024295625373444,-10.024295625373444,10.024295625373444
0.0017272000000000001,0,11.826220089663018,10.152107914214012,-10.152107914214012,10.152107914214012
0.0017308000000000002,0,8.1687442246358462,10.146270691859499,-10.146270691859499,10.146270691859499
0.0017344000000000001,0,4.5369444039621598,10.01153626388032,-10.01153626388032,10.01153626388032
0.0017379999999999507,0,0.97570358178133176,9.7542599661071225,-9.7542599661071225,9.7542599661071225
0.0017380000000000002,0.97570358173310368,0.97570358173310368,9.7542599661027829,90.24476433031549,9.7542599661027829
