"Time","Ig:Measured current","Iinductor:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0097044000000000834,4.5852434578621146,4.5852434578621146,9.7276013484855373,90.272398651514465,9.7276013484855373
0.0097046000000000545,6.3907821778573233,6.3907821778573233,9.7191312178329206,90.280868782167076,9.7191312178329206
0.0097048000000000273,8.1964540428640582,8.1964540428640582,9.7142856243211284,90.285714375678879,9.7142856243211284
0.0097049999999997243,10.002186631410748,10.002186631410748,9.7130575200128284,90.286942479987175,9.7130575200128284
0.0097050000000000001,10.002186633901053,10.002186633901053,9.713057520013626,90.286942479986379,9.713057520013626
0.0097059999999999994,19.029295037252389,19.029295037252389,9.7609309012007994,90.239069098799206,9.7609309012007994
0.0097060000000002769,0,19.029295039757052,9.7609309012265264,-9.7609309012265264,9.7609309012265264
0.0097078000000002211,0,17.258338772772522,9.9104652396960127,-9.9104652396960127,9.9104652396960127
0.0097096000000001671,0,15.463575211560572,10.025518553047029,-10.025518553047029,10.025518553047029
0.0097114000000001113,0,13.651202888958107,10.10633631361809,-10.10633631361809,10.10633631361809
0.0097132000000000572,0,11.827344817435941,10.153268476360193,-10.153268476360193,10.153268476360193
0.0097149999999997256,0,9.9980484893792045,10.166769478837271,-10.166769478837271,10.166769478837271
0.0097150000000000014,0,9.9980484890987835,10.166769478836805,-10.166769478836805,10.166769478836805
0.0097160000000000007,0,8.981624069944214,10.160024805924039,-10.160024805924039,10.160024805924039
0.0097170000000000017,0,7.9663772448638461,10.143238727349278,-10.143238727349278,10.143238727349278
0.0097180000000000009,0,6.9533069815143804,10.116527929353193,-10.116527929353193,10.116527929353193
0.0097190000000000019,0,5.9433991311959824,10.080017639093116,-10.080017639093116,10.080017639093116
0.0097199999999997254,0,4.9376264291290424,10.0338416246571,-10.0338416246571,10.0338416246571
0.0097200000000000012,0,4.9376264288522878,10.033841624643044,-10.033841624643044,10.033841624643044
0.0097210000000000005,0,3.9369479866303472,9.9781419520741181,-9.9781419520741181,9.9781419520741181
0.0097220000000000015,0,2.9423095632328335,9.9130689494465383,-9.9130689494465383,9.9130689494465383
0.0097230000000000007,0,1.9546411985025709,9.8387807217213936,-9.8387807217213936,9.8387807217213936
