"Time","Ig:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0058298401388143257,0,14.281565914297452,-14.281565914297452,14.281565914297452
0.0058311201850857397,0,12.566476475176279,-12.566476475176279,12.566476475176279
0.0058324002313571537,0,11.057162420237372,-11.057162420237372,11.057162420237372
0.0058329201850857229,0,10.496929084832439,-10.496929084832439,10.496929084832439
0.0058334401388142922,0,9.9650813237280964,-9.9650813237280964,9.9650813237280964
0.0058339600925428623,0,9.4601843146762032,-9.4601843146762032,9.4601843146762032
0.0058344800462714315,0,8.9808707799969145,-8.9808707799969145,8.9808707799969145
0.0058349999999998351,0,8.5258409867199205,-8.5258409867199205,8.5258409867199205
0.0058350000000000008,0,8.5258409865786753,-8.5258409865786753,8.5258409865786753
0.0058360000000000009,0,7.7144273113055908,-7.7144273113055908,7.7144273113055908
0.005837000000000001,0,6.980231873352241,-6.980231873352241,6.980231873352241
0.0058380000000000003,0,6.3159978118228945,-6.3159978118228945,6.3159978118228945
0.0058390000000000004,0,5.7150376701937038,-5.7150376701937038,5.7150376701937038
0.0058399999999998349,0,5.1712333963983772,-5.1712333963983772,5.1712333963983772
0.0058400000000000006,0,5.1712333963127071,-5.1712333963127071,5.1712333963127071
0.0058410000000000007,0,4.6790814194693269,-4.6790814194693269,4.6790814194693269
0.0058420000000000008,0,4.2337651188086021,-4.2337651188086021,4.2337651188086021
0.0058430000000000001,0,3.8308829436242187,-3.8308829436242187,3.8308829436242187
0.0058440000000000002,0,3.4663787077209438,-3.4663787077209438,3.4663787077209438
0.0058440000000001668,3.4663787076632868,3.4663787076632868,96.533621292336719,3.4663787076632868
0.0058442000000001335,5.377872669253545,5.377872669253545,94.622127330746451,5.377872669253545
0.0058444000000001002,7.2515164734465607,7.2515164734465607,92.748483526553443,7.2515164734465607
0.0058446000000000669,9.0880594055889645,9.0880594055889645,90.911940594411035,9.0880594055889645
0.0058448000000000336,10.888236257209872,10.888236257209872,89.111763742790131,10.888236257209872
0.0058449999999998338,12.652767324566263,12.652767324566263,87.34723267543373,12.652767324566263
0.0058450000000000004,12.652767326020886,12.652767326020886,87.347232673979107,12.652767326020886
0.0058459999999999172,20.969101765273262,20.969101765273262,79.030898234726735,20.969101765273262
0.0058460000000000838,0,20.96910176659058,-20.96910176659058,20.96910176659058
0.0058472800462714978,0,18.448967634622704,-18.448967634622704,18.448967634622704
0.0058485600925429117,0,16.23161755938245,-16.23161755938245,16.23161755938245
0.0058498401388143257,0,14.28156591429299,-14.28156591429299,14.28156591429299
0.0058511201850857406,0,12.566476475172513,-12.566476475172513,12.566476475172513
0.0058524002313571546,0,11.057162420234201,-11.057162420234201,11.057162420234201
0.0058529201850857238,0,10.496929084829612,-10.496929084829612,10.496929084829612
0.0058534401388142931,0,9.9650813237255846,-9.9650813237255846,9.9650813237255846
0.0058539600925428623,0,9.4601843146739828,-9.4601843146739828,9.4601843146739828
0.0058544800462714316,0,8.9808707799949623,-8.9808707799949623,8.9808707799949623
0.0058549999999998343,0,8.5258409867189542,-8.5258409867189542,8.5258409867189542
0.0058550000000000008,0,8.52584098657697,-8.52584098657697,8.52584098657697
0.005856000000000001,0,7.714427311304048,-7.714427311304048,7.714427311304048
0.0058570000000000011,0,6.9802318733508448,-6.9802318733508448,6.9802318733508448
0.0058580000000000004,0,6.3159978118216307,-6.3159978118216307,6.3159978118216307
0.0058590000000000005,0,5.7150376701925598,-5.7150376701925598,5.7150376701925598
0.0058599999999998341,0,5.1712333963977901,-5.1712333963977901,5.1712333963977901
0.0058600000000000006,0,5.1712333963116714,-5.1712333963116714,5.1712333963116714
0.0058610000000000008,0,4.6790814194683898,-4.6790814194683898,4.6790814194683898
0.0058620000000000009,0,4.2337651188077547,-4.2337651188077547,4.2337651188077547
0.0058630000000000002,0,3.8308829436234513,-3.8308829436234513,3.8308829436234513
0.0058640000000000003,0,3.4663787077202497,-3.4663787077202497,3.4663787077202497
0.0058640000000001668,3.4663787076625927,3.4663787076625927,96.533621292337401,3.4663787076625927
