"Time","Ig:Measured current","<undefined>","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0.0015460000000000001,388.60835705423312,0,202.08486166522883,-102.08486166522883,202.08486166522883
0.0015480000000000001,367.83467019126158,0,205.57302400949894,-105.57302400949894,205.57302400949894
0.0015499999999999561,346.41186279171018,0,208.5741661220614,-108.5741661220614,208.5741661220614
0.0015500000000000002,346.41186279123224,0,208.57416612212208,99.653588137208772,208.57416612212208
0.0015520000000000002,366.3405874797761,0,204.44412050884836,99.633659412520217,204.44412050884836
0.0015540000000000003,386.26532682193022,0,200.3958553666026,99.613734673178072,200.3958553666026
0.0015560000000000001,406.18608161468404,0,196.42775176133523,99.593813918385322,196.42775176133523
0.0015580000000000001,426.10285265486789,0,192.53822207488295,99.573897147345136,192.53822207488295
0.001559999999999956,446.01564073871214,0,188.72571000505215,99.553984359261293,188.72571000505215
0.0015600000000000002,446.01564073915256,0,188.72571000496868,-88.725710004968676,188.72571000496868
0.0015620000000000002,427.77104805898949,0,193.64080464469751,-93.640804644697511,193.64080464469751
0.0015640000000000003,408.59015217752204,0,198.0878609642026,-98.087860964202605,198.0878609642026
0.0015660000000000001,388.56763980424188,0,202.05849978326989,-102.05849978326989,202.05849978326989
0.0015680000000000002,367.79925028056152,0,205.54643042202798,-105.54643042202798,205.54643042202798
0.0015699999999999555,346.38177558029895,0,208.5474507008866,-108.5474507008866,208.5474507008866
0.0015700000000000002,346.38177557981408,0,208.54745070094816,99.653618224420185,208.54745070094816
0.0015720000000000003,366.31050628519813,0,204.41793408850947,99.633689493714797,204.41793408850947
0.0015740000000000001,386.23525164298906,0,200.37018747216905,99.613764748357013,200.37018747216905
0.0015760000000000001,406.15601245017683,0,196.40259212524003,99.593843987549818,196.40259212524003
0.001578,426.07278950359176,0,192.51356063291067,99.573927210496407,192.51356063291067
0.0015799999999999551,445.98558359945821,0,188.7015368923291,99.554014416400548,188.7015368923291
0.00158,445.98558359990506,0,188.70153689224441,-88.701536892244405,188.70153689224441
0.0015820000000000001,427.74583406899717,0,193.61656311185268,-93.616563111852685,193.61656311185268
0.0015840000000000001,408.56978524884522,0,198.06364833417678,-98.063648334176776,198.06364833417678
0.001586,388.55210453157076,0,202.03441133608635,-102.03441133608635,202.03441133608635
0.001588,367.78851246744239,0,205.52255906666582,-105.52255906666582,205.52255906666582
0.0015899999999999549,346.37578276536573,0,208.52388664715224,-108.52388664715224,208.52388664715224
