"Time","Ig:Measured current","Iinductor:Measured current","Iout:Measured current","Vinductor:Measured voltage","Vout:Measured voltage"
0,0,0,0,0,0
1.9999999999999999e-07,0,0,0,0,0
3.9999999999999998e-07,0,0,0,0,0
5.9999999999999997e-07,0,0,0,0,0
7.9999999999999996e-07,0,0,0,0,0
9.9999999999999995e-07,0,0,0,0,0
1.9999999999999999e-06,0,0,0,0,0
3.0000000000000001e-06,0,0,0,0,0
3.9999999999999998e-06,0,0,0,0,0
4.9999999999999996e-06,0,0,0,0,0
5.9999999999999993e-06,0,0,0,0,0
8.4000000000000009e-06,0,0,0,0,0
1.0800000000000002e-05,0,0,0,0,0
1.3200000000000002e-05,0,0,0,0,0
1.5600000000000003e-05,0,0,0,0,0
1.7999999999999492e-05,0,0,0,0,0
1.8000000000000004e-05,0,0,0,100,0
1.8400000000000003e-05,7.9992542447030637,7.9992542447030637,0.015977874488678757,99.976022871266622,0.015977874488678757
1.8800000000000003e-05,15.995314828236904,15.995314828236904,0.063819525979227465,99.920185159192542,0.063819525979227465
1.9200000000000003e-05,23.985638290623061,23.985638290623061,0.1433798906975963,99.832634471011787,0.1433798906975963
1.9600000000000002e-05,31.967694193062556,31.967694193062556,0.2545044304553109,99.71352787535163,0.2545044304553109
1.9999999999999432e-05,39.938965117924553,39.938965117924553,0.39702913264924711,99.563031902232822,0.39702913264924711
2.0000000000000002e-05,0,39.938965117935879,0.39702913264947215,-0.39702913264947215,0.39702913264947215
2.3600000000000001e-05,0,39.149616627489777,1.7847564889099243,-1.7847564889099243,1.7847564889099243
2.7200000000000004e-05,0,37.394258398361835,3.078102137161042,-3.078102137161042,3.078102137161042
3.0800000000000003e-05,0,34.749732144314159,4.2467618665041673,-4.2467618665041673,4.2467618665041673
3.4400000000000003e-05,0,31.313404615068094,5.2656599106883348,-5.2656599106883348,5.2656599106883348
3.7999999999998925e-05,0,27.203167596305573,6.1149489481100421,-6.1149489481100421,6.1149489481100421
3.8000000000000002e-05,27.203167596304255,27.203167596304255,6.1149489481102695,93.85784788429342,6.1149489481102695
3.8400000000000005e-05,34.707726028068045,34.707726028068045,6.214125345504125,93.751166928467811,6.214125345504125
3.8800000000000001e-05,42.20256745522596,42.20256745522596,6.3428454682888518,93.614951964255923,6.3428454682888518
3.9200000000000004e-05,49.685335232346269,49.685335232346269,6.5009478431849184,93.449366821582743,6.5009478431849184
3.96e-05,57.153686933381309,57.153686933381309,6.6882623396293326,93.254583973437292,6.6882623396293326
3.9999999999998865e-05,64.605294351646251,64.605294351646251,6.9046101697749807,93.03078453587338,6.9046101697749807
4.0000000000000003e-05,0,64.605294351667439,6.9046101697756379,-6.9046101697756379,6.9046101697756379
4.3600000000000003e-05,0,58.916824725487515,8.8489045131258859,-8.8489045131258859,8.8489045131258859
4.7200000000000009e-05,0,51.933735339845285,10.499793697044741,-10.499793697044741,10.499793697044741
5.0800000000000002e-05,0,43.878536272206247,11.824240527610078,-11.824240527610078,11.824240527610078
5.4400000000000008e-05,0,34.991056006481998,12.800247389074976,-12.800247389074976,12.800247389074976
5.799999999999836e-05,0,25.528441433034672,13.416856243867496,-13.416856243867496,13.416856243867496
5.8000000000000007e-05,25.528441433030252,25.528441433030252,13.416856243867695,86.557615314699277,13.416856243867695
5.840000000000001e-05,32.450469976324982,32.450469976324982,13.47903331210019,86.48851621792349,13.47903331210019
5.8800000000000006e-05,39.36587495417433,39.36587495417433,13.568582464488733,86.392051660557087,13.568582464488733
5.9200000000000009e-05,46.272472377797044,46.272472377797044,13.685363595530324,86.268363932091873,13.685363595530324
