,t,Vinj_9V,Vdd_9V
15650,1.0000000000000002e-06,0.0036399999999999983,-2.08
15651,1.0000000000000002e-06,0.003599999999999998,-2.08
15652,1.004e-06,0.003599999999999998,-2.088
15653,1.006e-06,0.0034799999999999983,-2.088
15654,1.006e-06,0.0034399999999999986,-2.088
15655,1.01e-06,0.003559999999999998,-2.088
15656,1.01e-06,0.0035599999999999985,-2.088
15657,1.012e-06,0.0034399999999999977,-2.088
15658,1.016e-06,0.003599999999999998,-2.08
15659,1.016e-06,0.003559999999999998,-2.072
15660,1.02e-06,0.0037599999999999986,-2.064
15661,1.0220000000000001e-06,0.003999999999999998,-2.064
15662,1.0220000000000001e-06,0.004199999999999998,-2.056
15663,1.026e-06,0.004479999999999998,-2.056
15664,1.0280000000000002e-06,0.004679999999999998,-2.048
15665,1.0280000000000002e-06,0.004679999999999998,-2.04
15666,1.032e-06,0.004879999999999998,-2.032
15667,1.034e-06,0.004959999999999998,-2.024
15668,1.034e-06,0.005159999999999999,-2.008
15669,1.038e-06,0.005479999999999998,-2.0
15670,1.04e-06,0.005679999999999999,-1.984
15671,1.04e-06,0.005639999999999998,-1.9760000000000002
15672,1.044e-06,0.005799999999999998,-1.9600000000000002
15673,1.044e-06,0.005839999999999999,-1.952
15674,1.046e-06,0.005839999999999999,-1.936
15675,1.0500000000000001e-06,0.0060399999999999985,-1.92
15676,1.0500000000000001e-06,0.006399999999999999,-1.904
15677,1.054e-06,0.0067199999999999985,-1.888
15678,1.0560000000000001e-06,0.006559999999999998,-1.888
15679,1.0560000000000001e-06,0.006279999999999998,-1.8719999999999999
15680,1.06e-06,0.005919999999999998,-1.8719999999999999
15681,1.0620000000000002e-06,0.0060399999999999985,-1.8560000000000003
15682,1.0620000000000002e-06,0.0060399999999999985,-1.8560000000000003
15683,1.066e-06,0.005839999999999999,-1.8400000000000003
15684,1.068e-06,0.005679999999999999,-1.8400000000000003
15685,1.068e-06,0.005559999999999998,-1.8400000000000003
15686,1.072e-06,0.0053999999999999986,-1.8400000000000003
15687,1.074e-06,0.005119999999999999,-1.8400000000000003
15688,1.074e-06,0.005079999999999999,-1.8400000000000003
15689,1.078e-06,0.005159999999999999,-1.8400000000000003
15690,1.078e-06,0.005159999999999998,-1.8400000000000003
15691,1.08e-06,0.004839999999999999,-1.8400000000000003
15692,1.0840000000000001e-06,0.004679999999999998,-1.8399999999999999
15693,1.0840000000000001e-06,0.004959999999999998,-1.8399999999999999
15694,1.088e-06,0.004919999999999999,-1.8399999999999999
15695,1.0900000000000002e-06,0.004839999999999999,-1.8399999999999999
15696,1.0900000000000002e-06,0.004639999999999998,-1.8399999999999999
15697,1.094e-06,0.0047199999999999985,-1.8399999999999999
15698,1.096e-06,0.004559999999999998,-1.8400000000000003
15699,1.096e-06,0.004439999999999998,-1.8400000000000003
15700,1.1e-06,0.004439999999999998,-1.8400000000000003
15701,1.102e-06,0.004479999999999998,-1.8400000000000003
15702,1.102e-06,0.004479999999999999,-1.832
15703,1.106e-06,0.0043599999999999976,-1.832
15704,1.108e-06,0.0043999999999999985,-1.8240000000000003
15705,1.108e-06,0.004479999999999999,-1.8240000000000003
15706,1.1120000000000001e-06,0.004279999999999998,-1.8160000000000003
15707,1.1120000000000001e-06,0.004159999999999999,-1.816
15708,1.114e-06,0.004559999999999999,-1.8079999999999998
15709,1.1180000000000001e-06,0.004799999999999999,-1.8079999999999998
15710,1.1180000000000001e-06,0.004799999999999998,-1.8
15711,1.122e-06,0.004799999999999998,-1.7919999999999998
15712,1.1240000000000002e-06,0.004799999999999998,-1.7920000000000003
15713,1.1240000000000002e-06,0.004839999999999999,-1.7840000000000003
15714,1.128e-06,0.005199999999999998,-1.7760000000000002
15715,1.13e-06,0.005279999999999998,-1.768
15716,1.13e-06,0.005839999999999999,-1.7600000000000002
15717,1.134e-06,0.005879999999999998,-1.752
15718,1.136e-06,0.005639999999999998,-1.7440000000000002
15719,1.136e-06,0.005639999999999998,-1.736
15720,1.14e-06,0.005799999999999998,-1.7279999999999998
15721,1.142e-06,0.006079999999999998,-1.7280000000000002
15722,1.142e-06,0.006279999999999998,-1.72
15723,1.1460000000000001e-06,0.006239999999999998,-1.72
15724,1.1460000000000001e-06,0.0063199999999999975,-1.72
15725,1.148e-06,0.006359999999999998,-1.7120000000000002
15726,1.1520000000000002e-06,0.006159999999999999,-1.7120000000000002
15727,1.1520000000000002e-06,0.006519999999999998,-1.704
15728,1.156e-06,0.006559999999999998,-1.704
15729,1.158e-06,0.006359999999999998,-1.6960000000000002
15730,1.158e-06,0.006159999999999998,-1.6960000000000002
15731,1.162e-06,0.0060399999999999985,-1.688
15732,1.164e-06,0.005999999999999998,-1.688
15733,1.164e-06,0.006119999999999999,-1.6800000000000002
15734,1.168e-06,0.005839999999999999,-1.6800000000000002
15735,1.17e-06,0.005599999999999999,-1.6800000000000002
15736,1.17e-06,0.005439999999999999,-1.6799999999999997
15737,1.1740000000000001e-06,0.005159999999999998,-1.6799999999999997
15738,1.176e-06,0.005159999999999999,-1.6800000000000002
15739,1.176e-06,0.004959999999999998,-1.6800000000000002
15740,1.1800000000000001e-06,0.004959999999999997,-1.6800000000000002
15741,1.1800000000000001e-06,0.004879999999999998,-1.6800000000000002
15742,1.182e-06,0.0047199999999999985,-1.6800000000000002
15743,1.1860000000000002e-06,0.004439999999999998,-1.6800000000000002
15744,1.1860000000000002e-06,0.004279999999999998,-1.6799999999999997
15745,1.19e-06,0.0043999999999999985,-1.6799999999999997
15746,1.192e-06,0.004359999999999998,-1.672
