"Time","Ig:Measured current","Iout:Measured current","V_Isense:Measured voltage","Vout:Measured voltage","Vdrain:Measured voltage"
0.0086460960776476251,6.9745832999888799,1.9533808117158094,0.34872916499944401,9.7669040585790459,0.34872916499944401
0.0086460960776478715,0,1.9533808117142055,0,9.7669040585710274,29.302061430103514
0.0086473900207016188,0,1.9775499202434617,0,9.8877496012173083,29.44190141812345
0.0086486839637553662,0,1.9972639654815083,0,9.9863198274075415,29.555964865957115
0.0086494265329020333,0,2.0065551552874261,0,10.032775776437131,29.609722739135506
0.0086494265329022796,0,2.0065551552902634,0,10.032775776451317,29.60972273915192
0.00864977323982501,0,2.0103860392584867,0,10.051930196292433,29.631887841665886
0.0086497732398252564,0,2.0103860392610939,0,10.05193019630547,29.631887841680971
0.0086509708073655347,0,2.0211353414774078,0,10.105676707387039,29.694082204014713
0.008652168374905813,0,2.0280313262752649,0,10.140156631376325,29.733981666187702
0.0086533659424460913,0,2.0310757187271467,0,10.155378593635733,29.75159620929275
0.0086545635099863679,0,2.0302775692599275,0,10.151387846299636,29.746978198173352
0.0086557610775266462,0,2.0256532536548733,0,10.128266268274366,29.720222381423703
0.0086562481665575855,0,2.0226829916181228,0,10.113414958090614,29.703036749312673
0.0086562481665578318,0,2.0226829916164619,0,10.113414958082309,18
0.0086575421193596427,0,2.0139775913070355,0,10.069887956535178,18
0.0086588360721614518,0,2.0053096580454599,0,10.026548290227298,18
0.0086597306538359516,0,1.9993388538281849,0,9.9966942691409244,18
0.0086597306538361979,0,1.9993388538265433,0,9.9966942691327159,18
0.0086600773612718514,0,1.9970295696676574,0,9.9851478483382863,18
0.0086600773612720977,0,1.9970295696660179,0,9.9851478483300884,0
0.0086612747146857013,1.2702476952406259,1.9890749537818977,0.06351238476203129,9.9453747689094882,0.06351238476203129
0.0086624720680993049,2.5360133660033521,1.9811520229025281,0.12680066830016762,9.9057601145126402,0.12680066830016762
0.0086636694215129085,3.7973128254241981,1.9732606508351052,0.18986564127120992,9.8663032541755253,0.18986564127120992
0.0086648667749265121,5.0541618316558834,1.9654007118812027,0.25270809158279417,9.8270035594060126,0.25270809158279417
0.0086660641283401157,6.3065760878678265,1.9575720808367709,0.31532880439339134,9.7878604041838546,0.31532880439339134
0.0086667045490412403,6.9746319188304513,1.953397639145334,0.34873159594152259,9.76698819572667,0.34873159594152259
0.0086667045490414867,0,1.95339763914373,0,9.7669881957186497,29.302158791888299
0.0086679984920972793,0,1.9775668988384123,0,9.8878344941920613,29.44199965453592
0.0086692924351530719,0,1.9972810572192394,0,9.9864052860961969,29.556063757002129
0.0086700349577000548,0,2.0065717580429769,0,10.032858790214885,29.609818800979678
0.0086700349577003011,0,2.0065717580458142,0,10.032858790229071,29.609818800996095
0.0086703816646228737,0,2.0104027033367058,0,10.052013516683528,29.631984258316741
0.00867038166462312,0,2.010402703339313,0,10.052013516696565,29.631984258331826
0.0086715792322288026,0,2.0211521969854864,0,10.105760984927432,29.694179728259137
0.0086727767998344835,0,2.0280483402566079,0,10.140241701283038,29.734080107342216
0.0086739743674401661,0,2.0310928580489302,0,10.15546429024465,29.751695375654222
0.0086751719350458487,0,2.0302948006790884,0,10.151474003395442,29.747077897400825
0.0086763695026515313,0,2.025670543884099,0,10.128352719420494,29.720322420920187
0.0086768566224646529,0,2.0227000888772215,0,10.113500444386107,29.703135672303759
0.0086768566224648992,0,2.0227000888755606,0,10.113500444377802,18
0.0086781505752696851,0,2.0139946149614714,0,10.069973074807356,18
0.0086794445280744727,0,2.0053266084121044,0,10.026633042060521,18
0.0086803390786686068,0,1.9993559608608562,0,9.9967798043042801,18
0.0086803390786688531,0,1.9993559608592144,0,9.9967798042960716,18
0.0086806857861042794,0,1.9970466569428098,0,9.9852332847140488,18
0.0086806857861045257,0,1.99704665694117,0,9.9852332847058491,0
0.0086818831395620438,1.2702477417459157,1.9890919727034433,0.063512387087295785,9.9454598635172164,0.063512387087295785
0.0086830804930195619,2.5360134586857477,1.9811689737438947,0.1268006729342874,9.9058448687194733,0.1268006729342874
0.0086842778464770783,3.7973129639572507,1.9732775338686264,0.18986564819786256,9.8663876693431316,0.18986564819786256
0.0086854751999345964,5.0541620157148754,1.9654175273781229,0.25270810078574379,9.8270876368906137,0.25270810078574379
0.0086866725533921146,6.3065763171297586,1.9575888290672498,0.31532881585648798,9.7879441453362492,0.31532881585648798
0.0086873130194112039,6.9746793764872423,1.9534140565783813,0.34873396882436214,9.7670702828919058,0.34873396882436214
0.0086873130194114502,0,1.9534140565767772,0,9.7670702828838856,29.302253781475436
0.0086886069624693089,0,1.9775834638714742,0,9.8879173193573706,29.442095498121631
0.0086899009055271658,0,1.9972977327548465,0,9.9864886637742316,29.556160239944258
0.0086906433825845123,0,2.006587956273536,0,10.032939781367681,29.609912522283658
0.0086906433825847586,0,2.0065879562763733,0,10.032939781381867,29.609912522300071
0.0086909900895070519,0,2.0104189614493317,0,10.052094807246657,29.632078326092227
0.0086909900895072983,0,2.010418961451939,0,10.052094807259694,29.632078326107312
0.0086921876571768256,0,2.0211686420533193,0,10.105843210266595,29.694274877738316
0.008693385224846353,0,2.0280649401245956,0,10.140324700622978,29.734176152479243
0.0086945827925158821,0,2.0311095803897339,0,10.155547901948669,29.751792129406429
0.0086957803601854095,0,2.0303116130574685,0,10.151558065287343,29.74717517210123
0.0086969779278549368,0,2.0256874138213035,0,10.128437069106518,29.720420028650061
0.0086974650777572691,0,2.0227167702336959,0,10.11358385116848,29.703232188924829
0.0086974650777575154,0,2.022716770232035,0,10.113583851160174,18
0.0086987590305652729,0,2.0140112245033142,0,10.07005612251657,18
0.0087000529833730304,0,2.005343146448483,0,10.026715732242415,18
0.0087009475035840327,0,1.9993726521476582,0,9.9968632607382908,18
0.008700947503584279,0,1.9993726521460164,0,9.9968632607300822,18
0.0087012942110197226,0,1.9970633289506612,0,9.9853166447533059,18
0.0087012942110199689,0,1.9970633289490214,0,9.9853166447451063,0
0.0087024915645204162,1.2702477872076061,1.9891085780183202,0.063512389360380311,9.9455428900916001,0.063512389360380311
0.0087036889180208618,2.5360135492883087,1.9811855126325832,0.12680067746441545,9.9059275631629156,0.12680067746441545
0.0087048862715213091,3.7973130993815607,1.9732940065968461,0.18986565496907803,9.8664700329842301,0.18986565496907803
0.0087060836250217547,5.0541621956435021,1.9654339342105311,0.25270810978217512,9.8271696710526548,0.25270810978217512
0.008707280978522202,6.306576541246951,1.9576051702674446,0.31532882706234755,9.7880258513372222,0.31532882706234755
0.0087079214887773281,6.9747257014553536,1.9534300748891351,0.34873628507276772,9.7671503744456754,0.34873628507276772
0.0087079214887775744,0,1.9534300748875311,0,9.7671503744376551,29.302346461781838
0.0087092154318373204,0,1.9775996262965958,0,9.8879981314829788,29.442189012259014
0.0087105093748970665,0,1.9973140030989354,0,9.9865700154946762,29.556254378489736
0.0087112518075562265,0,2.0066037607996607,0,10.033018803998303,29.610003965654073
0.0087112518075564728,0,2.006603760802498,0,10.033018804012489,29.610003965670487
0.0087115985144786186,0,2.0104348244450034,0,10.052174122225017,29.632170107761461
0.008711598514478865,0,2.0104348244476107,0,10.052174122238053,29.632170107776545
0.0087127960822107071,0,2.0211846876032245,0,10.105923438016122,29.694367715647658
0.0087139936499425492,0,2.0280811368541705,0,10.140405684270851,29.734269865098682
0.0087151912176743913,0,2.0311258967560448,0,10.155629483780224,29.751886534231772
0.0087163887854062334,0,2.0303280174120437,0,10.151640087060219,29.747270086017664
0.0087175863531380755,0,2.0257038744729612,0,10.128519372364805,29.720515268295649
0.0087180735324412697,0,2.0227330466527138,0,10.113665233263568,29.703326362619226
0.008718073532441516,0,2.0227330466510529,0,10.113665233255263,18
0.0087193674852521098,0,2.0140274308514146,0,10.070137154257072,18
0.0087206614380627035,0,2.0053592830273259,0,10.026796415136628,18
0.0087215559285889494,0,1.9993889385210732,0,9.996944692605366,18
0.0087215559285891957,0,1.9993889385194317,0,9.9969446925971575,18
0.0087219026360245422,0,1.9970795965135726,0,9.9853979825678625,18
0.0087219026360247885,0,1.9970795965119326,0,9.9853979825596628,0
0.008723099989567178,1.2702478316246331,1.9891247805057874,0.063512391581231661,9.9456239025289364,0.063512391581231661
0.0087242973431095657,2.5360136378089146,1.9812016503049241,0.12680068189044574,9.9060082515246197,0.12680068189044574
0.0087254946966519552,3.7973132316939564,1.9733100797133372,0.18986566158469784,9.8665503985666856,0.18986566158469784
0.0087266920501943429,5.054162371437549,1.9654499430294115,0.25270811857187747,9.8272497151470564,0.25270811857187747
0.0087278894037367324,6.3065767602141563,1.9576211150459208,0.31532883801070782,9.7881055752296042,0.31532883801070782
0.0087285299571723627,6.9747709212365265,1.9534457044920268,0.34873854606182636,9.7672285224601332,0.34873854606182636
0.0087285299571726125,0,1.9534457044903999,0,9.7672285224519992,29.302436893064201
0.0087298239002342685,0,1.9776153966122223,0,9.8880769830611115,29.442280257690992
