X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-2.600000e-07,4.000000e-09
112,-1.50e-01,3.54e+01,3.74e+01,
113,-1.30e-01,3.30e+01,3.74e+01,
114,-1.10e-01,3.06e+01,3.70e+01,
115,-5.00e-02,2.70e+01,3.74e+01,
116,-1.00e-02,2.42e+01,3.70e+01,
117,3.00e-02,2.18e+01,3.70e+01,
118,7.00e-02,2.02e+01,3.70e+01,
119,9.00e-02,1.94e+01,3.70e+01,
120,1.10e-01,1.90e+01,3.70e+01,
121,1.10e-01,1.94e+01,3.70e+01,
122,1.10e-01,2.06e+01,3.70e+01,
123,9.00e-02,2.26e+01,3.70e+01,
124,7.00e-02,2.42e+01,3.70e+01,
125,1.00e-02,2.70e+01,3.70e+01,
126,-3.00e-02,2.94e+01,3.70e+01,
127,-9.00e-02,3.18e+01,3.74e+01,
128,-1.10e-01,3.38e+01,3.74e+01,
129,-1.30e-01,3.42e+01,3.74e+01,
130,-1.30e-01,3.42e+01,3.74e+01,
131,-1.30e-01,3.30e+01,3.74e+01,
132,-1.10e-01,3.10e+01,3.74e+01,
133,-9.00e-02,2.86e+01,3.74e+01,
134,-3.00e-02,2.62e+01,3.74e+01,
135,-1.00e-02,2.42e+01,3.70e+01,
136,3.00e-02,2.26e+01,3.70e+01,
137,7.00e-02,2.14e+01,3.70e+01,
138,9.00e-02,2.06e+01,3.70e+01,
139,9.00e-02,2.06e+01,3.70e+01,
140,9.00e-02,2.06e+01,3.70e+01,
141,7.00e-02,2.18e+01,3.70e+01,
142,7.00e-02,2.38e+01,3.70e+01,
143,3.00e-02,2.58e+01,3.70e+01,
144,-1.00e-02,2.74e+01,3.74e+01,
145,-3.00e-02,2.98e+01,3.70e+01,
146,-5.00e-02,3.10e+01,3.70e+01,
147,-9.00e-02,3.22e+01,3.74e+01,
148,-1.10e-01,3.30e+01,3.74e+01,
149,-1.10e-01,3.22e+01,3.74e+01,
