X,CH1,CH2,CH3,CH4,Start,Increment,
Sequence,Volt,Volt,Volt,Volt,-2.598000e-06,4.000000e-09
83,-6.22e+00,6.00e-02,1.68e-01,2.60e-01,
84,-6.22e+00,6.00e-02,1.68e-01,2.60e-01,
85,-6.22e+00,6.00e-02,1.84e-01,2.68e-01,
86,-6.22e+00,7.60e-02,1.84e-01,2.68e-01,
87,-6.22e+00,7.60e-02,1.84e-01,2.84e-01,
88,-6.22e+00,7.60e-02,1.84e-01,2.84e-01,
89,-6.21e+00,7.60e-02,1.84e-01,2.84e-01,
90,-6.21e+00,7.60e-02,1.84e-01,2.92e-01,
91,-6.21e+00,7.60e-02,2.00e-01,2.92e-01,
92,-6.21e+00,7.60e-02,2.00e-01,2.92e-01,
93,-6.21e+00,7.60e-02,2.00e-01,3.08e-01,
94,-6.21e+00,7.60e-02,2.00e-01,3.08e-01,
95,-6.20e+00,7.60e-02,2.00e-01,3.08e-01,
96,-6.21e+00,7.60e-02,2.00e-01,3.16e-01,
97,-6.20e+00,7.60e-02,2.08e-01,3.16e-01,
98,-6.20e+00,8.40e-02,2.08e-01,3.16e-01,
99,-6.20e+00,8.40e-02,2.08e-01,3.32e-01,
100,-6.20e+00,8.40e-02,2.08e-01,3.32e-01,
101,-6.20e+00,8.40e-02,2.08e-01,3.32e-01,
102,-6.20e+00,8.40e-02,2.24e-01,3.48e-01,
103,-6.20e+00,8.40e-02,2.24e-01,3.48e-01,
104,-6.18e+00,8.40e-02,2.24e-01,3.48e-01,
105,-6.18e+00,8.40e-02,2.24e-01,3.56e-01,
106,-6.18e+00,8.40e-02,2.24e-01,3.56e-01,
107,-6.18e+00,8.40e-02,2.24e-01,3.56e-01,
108,-6.18e+00,8.40e-02,2.24e-01,3.56e-01,
109,-6.18e+00,8.40e-02,2.32e-01,3.72e-01,
110,-6.18e+00,8.40e-02,2.32e-01,3.72e-01,
111,-6.18e+00,1.00e-01,2.32e-01,3.72e-01,
