Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-32.61565138983002,32.21931899780355,-90.27639447520079
104.2300949424216,-32.18970569599117,31.80065644826138,-90.15428209682958
108.6391269170621,-31.66911738816707,31.28816757466984,-91.93870047210304
113.2346651302716,-31.5873782899132,31.19188524345997,-86.11604345890311
118.0245989730151,-31.3567130147298,30.9679743326918,-91.03112276061748
123.0171515649861,-31.04767436482504,30.65630375556195,-88.21715255271351
128.2208938716475,-30.25297943049839,29.85793678779097,-87.16486956021652
133.6447594184397,-30.10528430132536,29.69499170540627,-87.88745514838699
139.2980596274105,-29.60551062660452,29.21125137995955,-90.34465732430024
145.1904998026008,-29.37488028775112,28.9880466340157,-87.78896995418575
151.3321957916271,-29.16958710829799,28.78602072722133,-88.1776863472089
157.7336913520643,-28.58689594513528,28.18619330484358,-85.53479289595302
164.4059762524425,-28.64955887738459,28.25719455915266,-83.24947547461579
171.360505138936,-28.17287873127466,27.78741196787704,-90.56848614836072
178.609217200126,-27.75560427801804,27.36866441537203,-86.73747859697558
186.1645566636072,-27.18097852261823,26.78763598941874,-86.41064141570331
194.0394941596158,-26.69214366077604,26.30578931533116,-88.55808409363001
202.247548988362,-26.18838479135013,25.7987242630528,-86.65406373466728
210.8028123292901,-26.15431423023448,25.75251849685264,-86.65192931651585
219.7199714321139,-25.74179048920679,25.3455733814152,-87.19525662250888
229.0143348311534,-25.78272957633448,25.3717304989237,-86.60391034645595
238.7018586262665,-25.0214715541711,24.61951202400806,-87.37098097403252
248.7991738754823,-24.82943473977003,24.40996385515276,-85.34072229531998
259.3236151463755,-24.49963249425721,24.09527697128888,-86.97761415797297
270.2932502751869,-24.0325410858647,23.59888033193389,-86.65079799953952
281.7269113847843,-23.83952001814518,23.42182049747676,-87.1806133035432
293.6442272147124,-23.34916189172601,22.92868949793489,-86.477315574995
306.0656568188346,-23.09831695068666,22.6781772354881,-88.77621189186925
319.0125246884172,-22.96710404187606,22.55316720910099,-87.2851459055793
332.5070573609534,-22.26350509513178,21.83069381120916,-86.84455180302399
346.5724215775736,-22.03053855777459,21.59733951595954,-86.7968312663585
361.2327640545542,-21.3562641998612,20.9271780551703,-86.7353418022101
376.5132529371953,-21.27622030338509,20.83680781948951,-85.55290671939812
392.4401210072382,-20.91467254568775,20.46818089375616,-87.47408209660007
409.0407107179982,-20.81226274646975,20.3541394724506,-86.38790781537472
426.3435211345256,-20.24484770864049,19.79582641079424,-86.48661847368302
444.3782568593789,-20.06496555926514,19.60169375398056,-87.02862163336859
463.1758790280082,-19.57636329827478,19.09533444423922,-86.62626949594129
482.7686584612883,-19.46825747020505,18.99345281790172,-85.56517970927015
503.1902310664553,-19.04595317204702,18.54618400670535,-87.09339916041293
524.4756555815562,-18.85780739231189,18.35354029509531,-85.63854143382254
546.6614737625438,-18.20093712569147,17.68464120580305,-84.81976386781582
569.7857731163404,-18.04550291801946,17.53312836278484,-84.78144145811891
593.8882522875714,-17.59732124233109,17.06323886455665,-85.37320121097565
619.0102892112237,-17.33777628171119,16.79224555858448,-86.61209412424255
645.1950121482167,-17.21380390904836,16.65850482043842,-85.31300275230006
672.4873737258538,-16.86534116283054,16.30587585198201,-84.32765340266972
700.9342281102546,-16.30499307950854,15.73311166054414,-85.60231783486526
730.584411443248,-15.9681553023802,15.3690666362538,-84.30952052442478
761.4888256818282,-15.8310789916114,15.24201176737637,-86.22415527859744
793.7005259841002,-15.57136341209492,14.95064530431381,-85.84369300741072
827.2748117917272,-15.39044699623889,14.77857144196021,-85.6340203319216
862.2693217652554,-14.88860878956962,14.23882894737982,-85.58379836560951
898.7441327352996,-14.72836560946146,14.06637103489875,-84.93429474638766
936.7618628394459,-14.2505307527432,13.56394640857199,-84.54617295190344
976.3877790219507,-13.97416339848895,13.29216615689375,-84.85293205366183
1017.68990908078,-13.58381396294996,12.85721837595649,-83.71852505131108
1060.73915845434,-13.44440866780765,12.71202230060941,-84.77944385608689
1105.609431948401,-13.25631369875811,12.5072688127887,-84.54248393070986
1152.377760612186,-12.82805498817836,12.07663647189204,-84.84168270430818
1201.124433981432,-12.60934507807801,11.83574088173193,-85.37911405730966
1251.93313791547,-12.20598800309159,11.40282195424467,-85.30593507978979
1304.891098264931,-12.14104766471805,11.30163738301947,-85.83969218233921
1360.089230616743,-11.73438150142114,10.87733627404271,-85.86203991492283
1417.622296373483,-11.35730952499017,10.49056722104397,-85.58788042711103
