Time (s),Channel 1 (V),Channel 2 (V)
-0.002579998257713249,0.4059105773017453,-8.827787066447708
-0.002579368257713249,0.4049108263667277,-8.933526210661153
-0.002578738257713249,0.4029113244966911,-9.04655770964804
-0.002578108257713249,0.4019115735616725,-9.134065966928212
-0.002577478257713249,0.4005785723149824,-9.221574224208306
-0.002576848257713249,0.4002453220033097,-9.294497771941749
-0.002576218257713249,0.3979125698216019,-9.35648278751515
-0.002575588257713249,0.3975793195099282,-9.400236916155244
-0.002574958257713249,0.3969128188865829,-9.443991044795311
-0.002574328257713249,0.3972460691982554,-9.465868109115334
-0.002573698257713249,0.3969128188865829,-9.473160463888689
-0.002573068257713249,0.396912818886583,-9.469514286502013
-0.002572438257713249,0.3972460691982556,-9.462221931728672
-0.002571808257713249,0.3975793195099282,-9.440344867408639
-0.002571178257713249,0.3975793195099286,-9.403883093541902
-0.002570548257713249,0.3985790704449463,-9.371067497061867
-0.002569918257713249,0.3995788213799643,-9.338251900581817
-0.002569288257713249,0.3992455710682918,-9.283559239781759
-0.002568658257713249,0.4005785723149824,-9.247097465915012
-0.002568028257713249,0.3999120716916379,-9.203343337274928
-0.002567398257713249,0.4019115735616731,-9.166881563408223
-0.002566768257713249,0.4029113244966911,-9.148650676474862
-0.002566138257713249,0.4035778251200367,-9.112188902608121
-0.002565508257713249,0.4039110754317092,-9.072080951354746
-0.002564878257713249,0.4042443257433819,-9.031973000101351
-0.002564248257713249,0.4045775760550544,-8.984572694074634
-0.002563618257713249,0.4045775760550546,-8.937172388047873
-0.002562988257713249,0.4049108263667274,-8.900710614181138
-0.002562358257713249,0.4052440766784,-8.867895017701102
-0.002561728257713249,0.4055773269900726,-8.831433243834381
-0.002561098257713249,0.4052440766783985,-8.798617647354323
-0.002560468257713249,0.4019115735616731,-8.784032937807641
-0.002559838257713249,0.4005785723149824,-8.882479727247791
-0.002559208257713249,0.3985790704449472,-8.991865048847908
-0.002558578257713249,0.3969128188865829,-9.097604193061452
-0.002557948257713249,0.3959130679515648,-9.17782009556824
-0.002557318257713249,0.3949133170165467,-9.258035998075028
-0.002556688257713249,0.3942468163932014,-9.323667191035128
-0.002556058257713249,0.3935803157698554,-9.385652206608569
-0.002555428257713249,0.3922473145231653,-9.418467803088605
-0.002554798257713249,0.3922473145231653,-9.458575754342
-0.002554168257713249,0.3922473145231653,-9.473160463888682
-0.002553538257713249,0.3919140642114926,-9.487745173435377
-0.002552908257713249,0.3922473145231653,-9.47680664127536
-0.002552278257713249,0.3919140642114926,-9.462221931728672
-0.002551648257713249,0.3922473145231653,-9.433052512635294
-0.002551018257713249,0.3922473145231662,-9.396590738768559
-0.002550388257713249,0.3942468163932014,-9.367421319675195
-0.002549758257713249,0.3942468163932014,-9.323667191035128
-0.002549128257713249,0.3945800667048739,-9.283559239781752
-0.002548498257713249,0.3952465673282194,-9.250743643301684
-0.002547868257713249,0.3945800667048741,-9.199697159888274
-0.002547238257713249,0.3975793195099268,-9.170527740794908
-0.002546608257713249,0.3979125698216009,-9.141358321701517
-0.002545978257713249,0.3982458201332736,-9.101250370448106
-0.002545348257713249,0.3982458201332736,-9.061142419194729
-0.002544718257713249,0.3982458201332736,-9.024680645328006
-0.002544088257713249,0.3989123207566187,-8.98092651668796
-0.002543458257713249,0.3995788213799643,-8.940818565434546
-0.002542828257713249,0.3995788213799643,-8.89706443679448
-0.002542198257713249,0.3992455710682918,-8.864248840314444
-0.002541568257713249,0.3992455710682916,-8.824140889061036
-0.002540938257713249,0.3982458201332722,-8.791325292580998
-0.002540308257713249,0.3952465673282194,-8.820494711674364
-0.002539678257713249,0.3945800667048741,-8.926233855887858
-0.002539048257713249,0.3932470654581839,-9.039265354874644
-0.002538418257713249,0.3915808138998199,-9.134065966928173
-0.002537788257713249,0.3915808138998199,-9.225220401594978
-0.002537158257713249,0.3899145623414573,-9.290851594555049
-0.002536528257713249,0.3879150604714204,-9.356482787515178
-0.002535898257713249,0.3872485598480749,-9.411175448315277
-0.002535268257713249,0.3869153095364024,-9.447637222181983
-0.002534638257713249,0.3869153095364024,-9.473160463888689
-0.002534008257713249,0.3865820592247297,-9.487745173435377
-0.002533378257713249,0.3865820592247297,-9.487745173435377
-0.002532748257713249,0.386248808913057,-9.480452818662032
-0.002532118257713249,0.3875818101597471,-9.458575754342011
-0.002531488257713249,0.387248559848075,-9.433052512635294
-0.002530858257713249,0.3885815610947665,-9.396590738768559
-0.002530228257713249,0.3902478126531292,-9.367421319675195
-0.002529598257713249,0.3892480617181112,-9.316374836261783
-0.002528968257713249,0.3902478126531294,-9.279913062395044
-0.002528338257713249,0.3905810629648019,-9.239805111141667
-0.002527708257713249,0.3905810629648019,-9.196050982501601
-0.002527078257713249,0.3925805648348371,-9.170527740794908
-0.002526448257713249,0.3929138151465106,-9.1304197895415
-0.002525818257713249,0.3932470654581833,-9.086665660901435
-0.002525188257713249,0.3929138151465106,-9.053850064421384
-0.002524558257713249,0.393580315769856,-9.010095935781319
-0.002523928257713249,0.3939135660815289,-8.977280339301249
-0.002523298257713249,0.3942468163932014,-8.933526210661201
-0.002522668257713249,0.3952465673282194,-8.893418259407808
-0.002522038257713249,0.3942468163932019,-8.860602662927771
-0.002521408257713249,0.3945800667048741,-8.816848534287692
-0.002520778257713249,0.3922473145231653,-8.791325292580986
-0.002520148257713249,0.3902478126531292,-8.878833549861119
-0.002519518257713249,0.3885815610947658,-8.980926516687941
-0.002518888257713249,0.3869153095364017,-9.090311838288146
-0.002518258257713249,0.3855823082897116,-9.17782009556824
