,Time (s),Channel 1 (V),Channel 2 (V),Ch2_moving_average
0,-0.0025799982577132,-0.4059105773017453,8.827787066447708,3.7343474198239837
1,-0.0025793682577132,-0.4049108263667277,8.933526210661153,3.8257227181784383
2,-0.0025787382577132,-0.4029113244966911,9.04655770964804,3.917099839621587
3,-0.0025781082577132,-0.4019115735616725,9.134065966928212,4.008478784153429
4,-0.0025774782577132,-0.4005785723149824,9.221574224208306,4.099859551773964
5,-0.0025768482577132,-0.4002453220033097,9.294497771941748,4.191242142483192
6,-0.0025762182577132,-0.3979125698216019,9.35648278751515,4.282626556281114
7,-0.0025755882577132,-0.3975793195099282,9.400236916155244,4.374012793167729
8,-0.0025749582577132,-0.3969128188865829,9.443991044795313,4.465400853143039
9,-0.0025743282577132,-0.3972460691982554,9.465868109115334,4.55679073620704
10,-0.0025736982577132,-0.3969128188865829,9.473160463888687,4.648182442359735
11,-0.0025730682577132,-0.396912818886583,9.469514286502012,4.739575971601123
12,-0.0025724382577132,-0.3972460691982556,9.462221931728672,4.830971323931205
13,-0.0025718082577132,-0.3975793195099282,9.44034486740864,4.922366676261287
14,-0.0025711782577132,-0.3975793195099286,9.403883093541902,5.013762028591369
15,-0.0025705482577132,-0.3985790704449463,9.371067497061867,5.105157380921451
16,-0.0025699182577132,-0.3995788213799643,9.338251900581817,5.196552733251532
17,-0.0025692882577132,-0.3992455710682918,9.28355923978176,5.287948085581613
18,-0.0025686582577132,-0.4005785723149824,9.247097465915012,5.379343437911695
19,-0.0025680282577132,-0.3999120716916379,9.203343337274928,5.470738790241776
20,-0.0025673982577132,-0.4019115735616731,9.166881563408223,5.562134142571857
21,-0.0025667682577132,-0.4029113244966911,9.148650676474862,5.653529494901939
22,-0.0025661382577132,-0.4035778251200367,9.11218890260812,5.74492484723202
23,-0.0025655082577132,-0.4039110754317092,9.072080951354746,5.836320199562101
24,-0.0025648782577132,-0.4042443257433819,9.031973000101353,5.927715551892183
25,-0.0025642482577132,-0.4045775760550544,8.984572694074634,6.019110904222264
26,-0.0025636182577132,-0.4045775760550546,8.937172388047873,6.110506256552345
27,-0.0025629882577132,-0.4049108263667274,8.900710614181138,6.201901608882427
28,-0.0025623582577132,-0.4052440766784,8.867895017701102,6.293296961212508
29,-0.0025617282577132,-0.4055773269900726,8.83143324383438,6.384692313542596
30,-0.0025610982577132,-0.4052440766783985,8.798617647354323,6.476087665872678
31,-0.0025604682577132,-0.4019115735616731,8.784032937807641,6.567483018202759
32,-0.0025598382577132,-0.4005785723149824,8.882479727247791,6.65887837053284
33,-0.0025592082577132,-0.3985790704449472,8.991865048847908,6.7502737228629215
34,-0.0025585782577132,-0.3969128188865829,9.097604193061452,6.8416690751930025
35,-0.0025579482577132,-0.3959130679515648,9.17782009556824,6.9330644275230835
36,-0.0025573182577132,-0.3949133170165467,9.258035998075028,7.024459779853165
37,-0.0025566882577132,-0.3942468163932014,9.323667191035128,7.115855132183246
38,-0.0025560582577132,-0.3935803157698554,9.385652206608569,7.207250484513327
39,-0.0025554282577132,-0.3922473145231653,9.418467803088603,7.298645836843409
40,-0.0025547982577132,-0.3922473145231653,9.458575754342,7.39004118917349
41,-0.0025541682577132,-0.3922473145231653,9.473160463888682,7.481436541503572
42,-0.0025535382577132,-0.3919140642114926,9.487745173435377,7.572831893833653
43,-0.0025529082577132,-0.3922473145231653,9.47680664127536,7.664227246163734
44,-0.0025522782577132,-0.3919140642114926,9.462221931728672,7.755622598493816
45,-0.0025516482577132,-0.3922473145231653,9.433052512635294,7.847022922883979
46,-0.0025510182577132,-0.3922473145231662,9.39659073876856,7.938428219334206
47,-0.0025503882577132,-0.3942468163932014,9.367421319675197,8.029838487844506
48,-0.0025497582577132,-0.3942468163932014,9.323667191035128,8.121253728414878
49,-0.0025491282577132,-0.3945800667048739,9.283559239781752,8.212673941045324
50,-0.0025484982577132,-0.3952465673282194,9.250743643301684,8.256733323416396
51,-0.0025478682577132,-0.3945800667048741,9.199697159888274,8.300797677847548
52,-0.0025472382577132,-0.3975793195099268,9.170527740794908,8.344867004338768
53,-0.0025466082577132,-0.3979125698216009,9.141358321701516,8.388941302890059
54,-0.0025459782577132,-0.3982458201332736,9.101250370448106,8.433020573501425
55,-0.0025453482577132,-0.3982458201332736,9.061142419194727,8.477104816172863
56,-0.0025447182577132,-0.3982458201332736,9.024680645328006,8.521194528110382
57,-0.0025440882577132,-0.3989123207566187,8.98092651668796,8.56528970931398
58,-0.0025434582577132,-0.3995788213799643,8.940818565434546,8.609390359783658
59,-0.0025428282577132,-0.3995788213799643,8.89706443679448,8.653496479519418
60,-0.0025421982577132,-0.3992455710682918,8.864248840314444,8.697608068521257
61,-0.0025415682577132,-0.3992455710682916,8.824140889061036,8.739633690375411
62,-0.0025409382577132,-0.3982458201332722,8.791325292580998,8.779573345081882
63,-0.0025403082577132,-0.3952465673282194,8.820494711674364,8.817427032640671
64,-0.0025396782577132,-0.3945800667048741,8.926233855887858,8.853194753051774
65,-0.0025390482577132,-0.3932470654581839,9.039265354874644,8.886876506315195
66,-0.0025384182577132,-0.3915808138998199,9.134065966928173,8.918472292430932
67,-0.0025377882577132,-0.3915808138998199,9.225220401594978,8.947982111398986
68,-0.0025371582577132,-0.3899145623414573,9.290851594555049,8.975405963219353
69,-0.0025365282577132,-0.3879150604714204,9.356482787515178,9.00074384789204
70,-0.0025358982577132,-0.3872485598480749,9.411175448315277,9.023995765417041
71,-0.0025352682577132,-0.3869153095364024,9.447637222181983,9.04516171579436
