Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
100.0000000000001,-35.24117620816644,34.16633643862704,-87.3009210425131
104.2300949424216,-36.63729052934892,35.5800768503598,-95.3207460395856
108.6391269170621,-35.50748297214375,34.44029222901734,-91.37528093044742
113.2346651302716,-36.00121283418353,34.93144368448859,-90.58363109221696
118.0245989730152,-35.89604558272352,34.83485206976351,-90.7595469605435
123.0171515649861,-34.67930238524231,33.64906576666608,-93.98910588084149
128.2208938716475,-34.19409061949949,33.142952043806,-90.83829336282304
133.6447594184397,-34.09885254563828,33.06455766761084,-87.3302733591577
139.2980596274105,-33.55542575778464,32.53019996761937,-90.03446002537983
145.1904998026009,-33.0205488680205,32.015034937465,-91.0329867470638
151.3321957916272,-33.25368189520263,32.25540561174163,-93.76011711554122
157.7336913520643,-32.30672326067338,31.28366545300596,-89.46284793353534
164.4059762524426,-31.91825909893934,30.91769952502018,-85.76629131017592
171.360505138936,-31.16631504667476,30.16898197865016,-95.6412936422573
178.609217200126,-30.88638276142543,29.89859771202243,-92.76051120485671
186.1645566636072,-30.90193241760529,29.90144634035013,-96.6302156952292
194.0394941596158,-30.76260373678498,29.77421597274606,-91.87470111093361
202.247548988362,-30.16783042752816,29.1805926909694,-92.84647072305981
210.8028123292901,-29.48773956940565,28.51554772219702,-95.14724433093653
219.7199714321139,-29.44324186113451,28.47793198043556,-91.64010976941015
229.0143348311535,-29.50117078190399,28.54570287319316,-92.58241747919304
238.7018586262665,-28.52099941490829,27.56458278357832,-94.30691287027082
248.7991738754824,-28.86530156308716,27.91254585843505,-93.82360598647097
259.3236151463756,-27.76746788542242,26.81909119400491,-96.22680761019075
270.293250275187,-27.21619351854278,26.26431278102681,-93.21079208831668
281.7269113847843,-27.07205883904899,26.13435901592072,-94.29675202012839
293.6442272147124,-26.81616450837756,25.86954864539271,-91.61135951611429
306.0656568188346,-26.73079985031945,25.79111707687476,-94.54417547055978
319.0125246884172,-25.77277692764678,24.84365080389476,-95.04222639950707
332.5070573609534,-26.07102164563766,25.12675395884116,-97.13715803278382
346.5724215775736,-25.76537386286,24.86161230685013,-97.44511051791642
361.2327640545543,-25.37033998942398,24.46107811918411,-97.43950317183526
376.5132529371953,-24.78175374693327,23.85944270411882,-98.41378473001974
392.4401210072383,-24.42199680176866,23.54654972805509,-100.1708156651291
409.0407107179983,-24.05361045416154,23.16757455280563,-100.1781691062479
426.3435211345256,-23.28167637296574,22.37447862179033,-99.89761123472738
444.378256859379,-23.42464988376652,22.53967949314425,-103.337069314826
463.1758790280083,-23.00005921074485,22.13357510784812,-100.3277783616474
482.7686584612883,-22.53409458109913,21.65640903718538,-101.7340164075404
503.1902310664555,-21.92182228597197,21.07296778144431,-100.0425330667465
524.4756555815562,-21.27489414324863,20.41017409971849,-103.0717969100245
546.6614737625439,-21.17027832305027,20.33531640574051,-102.9177021758315
569.7857731163404,-21.02621584772311,20.19414104055033,-100.7733771071456
593.8882522875715,-20.70554652617206,19.91357920612271,-102.4893655120145
619.0102892112238,-20.24843691193204,19.46202491486184,-103.2454420540105
645.1950121482167,-20.12410722691144,19.3745935048604,-104.909401183746
672.4873737258539,-19.53237985494595,18.80299620785566,-104.5994517763612
700.9342281102547,-18.93581997186222,18.21863742474219,-105.0203455856658
730.5844114432481,-18.50717957870584,17.81573062119924,-104.3939613899199
