"Time","Ig:Measured current","Iout:Measured current","Iinductor:Measured current","V_Isense:Measured voltage","Vout:Measured voltage","Vdrain:Measured voltage"
0,0,0,0,0,0,18
1.3308731665506189e-07,0,0,0,0,0,18
1.3308731665509191e-07,0,0,0,0,0,18
7.1133706343655882e-07,0,0,0,0,0,18
7.1133706343659249e-07,0,0,0,0,0,18
1.8941631618929562e-06,0,0,0,0,0,18
3.0769892603493197e-06,0,0,0,0,0,18
4.2598153588056828e-06,0,0,0,0,0,18
5.4426414572620476e-06,0,0,0,0,0,18
6.6254675557184106e-06,0,0,0,0,0,18
7.8082936541747737e-06,0,0,0,0,0,18
8.9911197526311368e-06,0,0,0,0,0,18
1.0173945851087502e-05,0,0,0,0,0,18
1.1356771949543865e-05,0,0,0,0,0,18
1.2539598048000228e-05,0,0,0,0,0,18
1.3750870132474556e-05,0,0,0,0,0,18
1.3826340382161257e-05,0,0,0,0,0,18
1.3826340382161684e-05,0,0,0,0,0,18
1.4173039986958141e-05,0,0,0,0,0,18
1.4173039986958578e-05,0,0,0,0,0,18
1.5373395795576201e-05,0,0,0,0,0,18
1.6573751604193822e-05,0,0,0,0,0,18
1.7774107412811443e-05,0,0,0,0,0,18
1.8974463221429064e-05,0,0,0,0,0,18
2.0174819030046685e-05,0,0,0,0,0,18
2.1375174838664306e-05,0,0,0,0,0,18
2.2575530647281927e-05,0,0,0,0,0,18
2.3775886455899552e-05,0,0,0,0,0,18
2.4135304654582976e-05,0,0,0,0,0,18
2.4135304654583687e-05,0,0,0,0,0,18
2.4482031917741233e-05,0,0,0,0,0,18
2.4482031917741959e-05,0,0,0,0,0,0
2.5668339064198805e-05,1.1321984829353466,0.0020974905870359628,1.1321984829353466,0.056609924146767333,0.011186616464191801,0.056609924146767333
2.6854646210655655e-05,2.2594407114370152,0.0083679288472354677,2.2594407114370152,0.11297203557185076,0.044628953851922497,0.11297203557185076
2.8040953357112502e-05,3.3803344656402685,0.018774734714211941,3.3803344656402685,0.16901672328201345,0.10013191847579701,0.16901672328201345
2.849424410001516e-05,3.8066666666662798,0.023834912953212363,3.8066666666662798,0.19033333333331401,0.12711953575046595,0.19033333333331401
2.8494244100015993e-05,0,0.023834912953222216,3.8066666666670623,0,0.12711953575051849,18
2.9787678733196109e-05,0,0.039073025312407771,3.7951384651336268,0,0.20838946833284144,18
3.1081113366376226e-05,0,0.054192118414240611,3.7780484323073629,0,0.28902463154261659,18
3.2374547999556335e-05,0,0.069170074298630091,3.7554442653085305,0,0.36890706292602715,18
