"Time","Ig:Measured current","Iout:Measured current","Vout:Measured voltage"
0,0,0,0
9.2470387809911035e-08,0,0,0
9.2470387809941025e-08,0,0,0
3.0586823832971217e-07,0,0,0
3.0586823832974478e-07,0,0,0
7.1133706343655448e-07,0,0,0
7.1133706343659684e-07,0,0,0
1.9114208027443547e-06,0,0,0
3.1115045420521128e-06,0,0,0
4.3115882813598701e-06,0,0,0
5.5116720206676287e-06,0,0,0
6.7117557599753864e-06,0,0,0
7.9118394992831432e-06,0,0,0
9.1119232385909018e-06,0,0,0
1.031200697789866e-05,0,0,0
1.1512090717206419e-05,0,0,0
1.2712174456514176e-05,0,0,0
1.3826578673273056e-05,0,0,0
1.3826578673273453e-05,0,0,0
1.4173315258123499e-05,0,0,0
1.4173315258123926e-05,0,0,0
1.5373893794531144e-05,0,0,0
1.6574472330938366e-05,0,0,0
1.7775050867345585e-05,0,0,0
1.8975629403752807e-05,0,0,0
2.0176207940160026e-05,0,0,0
2.1376786476567245e-05,0,0,0
2.2577365012974467e-05,0,0,0
2.3777943549381686e-05,0,0,0
2.4135578872308644e-05,0,0,0
2.4135578872309355e-05,0,0,0
2.4482306134360575e-05,0,0,0
2.44823061343613e-05,0,0,0
2.5668614102095339e-05,1.1339833573587981,0.0020994802169599282,0.011197227823786283
2.6854922069829379e-05,2.2665668135402806,0.0083849125929221224,0.044719533828917982
2.8041230037563418e-05,3.396334008999188,0.018833040467081869,0.10044288249110329
2.9227538005297457e-05,4.5218843021044286,0.033415614847396705,0.17821661251944909
3.0413845973031497e-05,5.6418327691390733,0.052099394410586433,0.27786343685646098
3.1600153940765533e-05,6.7548102043003633,0.074846145502133088,0.39917944267804312
3.2786461908499576e-05,7.859463119699698,0.10161264213628096,0.54193409139349846
3.3972769876233611e-05,8.9544537453626507,0.13235066599603665,0.70587021864552879
3.4444631160928356e-05,9.3870127859386248,0.1456692658712414,0.77690275131328745
3.4444631160929359e-05,0,0.14566926587127038,0.776902751313442
3.4791358494814807e-05,0,0.15566917287498555,0.83023558866658953
3.4791358494815823e-05,0,0.15566917287501481,0.83023558866674563
3.5977613072388603e-05,0,0.18966850967807752,1.0115653849497468
3.7163867649961382e-05,0,0.22330653477878398,1.1909681854868479
3.8350122227534162e-05,0,0.25654235953943683,1.3682259175436631
3.9536376805106942e-05,0,0.28933594931310691,1.5431250630032367
4.0722631382679721e-05,0,0.32164812344363314,1.7154566583660436
4.1908885960252501e-05,0,0.35344055526562312,1.88501629474999
4.309514053782528e-05,0,0.38467577210445214,2.0516041178904114
4.428139511539806e-05,0,0.41531715527626412,2.2150248281400753
4.4753683728409329e-05,0,0.4273432773042285,2.279164145622552
4.4753683728410616e-05,0,0.42734327730426114,2.2791641456227261
4.5100411062567806e-05,0,0.43610748951831696,2.3259066107643571
4.510041106256912e-05,8.4990417004080658,0.4361074895183501,2.3259066107645339
4.6286665437438344e-05,9.4814352568495917,0.46776395055474751,2.4947410696253201
4.7472919812307567e-05,10.45261055541955,0.50291794376861576,2.6822290334326175
4.8659174187176791e-05,11.411389974317963,0.54151251169713255,2.8880667290513737
4.9845428562046014e-05,12.356621500390531,0.5834868961099775,3.1119301125865464
5.1031682936915237e-05,13.28717872912862,0.62877653800933153,3.3534748693831018
5.2217937311784461e-05,14.201960864669264,0.67731307762987836,3.6123364140260179
5.3404191686653684e-05,15.099892719795172,0.72902435443880287,3.8881298903402817
5.4590446061522907e-05,15.979924715934725,0.78383440713579178,4.1804501713908895
5.5062736296941226e-05,16.325086250541904,0.80650109135241888,4.3013391538795673
5.5062736296942811e-05,0,0.80650109135249581,4.3013391538799777
5.5409463631100916e-05,0,0.82326361244557766,4.3907392663764142
5.5409463631102515e-05,0,0.82326361244565471,4.3907392663768254
5.6595718005202083e-05,0,0.87980366779998787,4.6922862282666022
5.7781972379301652e-05,0,0.93504119924252982,4.986886395960159
5.8968226753401221e-05,0,0.98891166651819429,5.2741955547637032
6.0154481127500789e-05,0,1.0413527906593818,5.5538815501833696
6.1340735501600358e-05,0,1.0923045539859801,5.8256242879252271
6.2526989875699926e-05,0,1.1417092001053641,6.0891157338952757
6.3713244249799495e-05,0,1.1895112339123963,6.3440599141994474
6.4899498623899064e-05,0,1.2356574215894263,6.5901729151436061
6.5371788865479729e-05,0,1.2535575894185063,6.6856404768986994
6.53717888654816e-05,0,1.2535575894185764,6.6856404768990743
6.5718516199639548e-05,0,1.2665250613511219,6.7548003272059836
6.5718516199641446e-05,13.165882601114085,1.2665250613511922,6.7548003272063593
6.6904770573738087e-05,13.866886246483842,1.3118576548449068,6.9965741591728365
6.8091024947834742e-05,14.552258214264363,1.3595878843206328,7.2511353830433753
6.9277279321931383e-05,15.221195762355624,1.4096470472568294,7.5181175853697573
7.0463533696028024e-05,15.872923564582006,1.4619641281496918,7.7971420167983556
7.1649788070124679e-05,16.506693710692296,1.51646579851315,8.0878175920701327
7.283604244422132e-05,17.121785706359677,1.5730764168788705,8.3897408900206418
7.4022296818317961e-05,17.71750647318175,1.6317180287962545,8.7024961535800234
7.5208551192414616e-05,18.293190348680508,1.6923103668324395,9.0256552897730113
7.5680841434022943e-05,18.516670999749586,1.7169589791879454,9.1571145556690414
7.5680841434025111e-05,0,1.7169589791880588,9.1571145556696472
7.6027568768182938e-05,0,1.7350604336361939,9.2536556460597001
7.6027568768185133e-05,0,1.7350604336363076,9.2536556460603077
7.7213823142281842e-05,0,1.7954367747875271,9.5756627988668104
7.8400077516378538e-05,0,1.8533580788811852,9.8845764206996538
