"Time","Ig:Measured current","Iout:Measured current","Iinductor:Measured current","V_Isense:Measured voltage","Vout:Measured voltage","Vdrain:Measured voltage"
0,0,0,0,0,0,18
1.3308731665506189e-07,0,0,0,0,0,18
1.3308731665509191e-07,0,0,0,0,0,18
7.1133706343655882e-07,0,0,0,0,0,18
7.1133706343659249e-07,0,0,0,0,0,18
1.8941631618929562e-06,0,0,0,0,0,18
3.0769892603493197e-06,0,0,0,0,0,18
4.2598153588056828e-06,0,0,0,0,0,18
5.4426414572620476e-06,0,0,0,0,0,18
6.6254675557184106e-06,0,0,0,0,0,18
7.8082936541747737e-06,0,0,0,0,0,18
8.9911197526311368e-06,0,0,0,0,0,18
1.0173945851087502e-05,0,0,0,0,0,18
1.1356771949543865e-05,0,0,0,0,0,18
1.2539598048000228e-05,0,0,0,0,0,18
1.3750870132474556e-05,0,0,0,0,0,18
1.3826340382161257e-05,0,0,0,0,0,18
1.3826340382161684e-05,0,0,0,0,0,18
1.4173039986958141e-05,0,0,0,0,0,18
1.4173039986958578e-05,0,0,0,0,0,18
1.5373395795576201e-05,0,0,0,0,0,18
1.6573751604193822e-05,0,0,0,0,0,18
1.7774107412811443e-05,0,0,0,0,0,18
1.8974463221429064e-05,0,0,0,0,0,18
2.0174819030046685e-05,0,0,0,0,0,18
2.1375174838664306e-05,0,0,0,0,0,18
2.2575530647281927e-05,0,0,0,0,0,18
2.3775886455899552e-05,0,0,0,0,0,18
2.4135304654582976e-05,0,0,0,0,0,18
2.4135304654583687e-05,0,0,0,0,0,18
2.4482031917741233e-05,0,0,0,0,0,18
2.4482031917741959e-05,0,0,0,0,0,0
2.5668339064198805e-05,2.3638972096844113,0.0043818771365435431,2.3638972096844113,0.11819486048422057,0.023370011394898894,0.11819486048422057
2.6397556685121931e-05,3.8066666666661071,0.011396084183792671,3.8066666666661071,0.19033333333330538,0.060779115646894248,0.19033333333330538
2.6397556685122697e-05,0,0.011396084183801756,3.806666666667617,0,0.060779115646942702,18
2.7690991318302813e-05,0,0.026680961843520788,3.7920700329094044,0,0.1422984631654442,18
2.8984425951482926e-05,0,0.041822543821017293,3.7658158725952977,0,0.22305356704542556,18
3.0277860584663043e-05,0,0.056773519107769232,3.7280292054652295,0,0.30279210190810257,18
3.1571295217843159e-05,0,0.071487917182951777,3.6788697348365673,0,0.38126889164240951,18
3.2864729851023275e-05,0,0.08592110801343722,3.6185318476041095,0,0.45824590940499854,18
