"Time","Ig:Measured current","Iout:Measured current","Vout:Measured voltage","V_Isense:Measured voltage"
0,0,0,0,0
1.4226336474154744e-07,0,0,0,0
1.4226336474157746e-07,0,0,0,0
7.1133706343655851e-07,0,0,0,0
7.113370634365926e-07,0,0,0,0
1.8944353768924267e-06,0,0,0,0
3.0775336903482608e-06,0,0,0,0
4.2606320038040948e-06,0,0,0,0
5.4437303172599288e-06,0,0,0,0
6.6268286307157629e-06,0,0,0,0
7.809926944171596e-06,0,0,0,0
8.9930252576274292e-06,0,0,0,0
1.0176123571083264e-05,0,0,0,0
1.1359221884539099e-05,0,0,0,0
1.2542320197994932e-05,0,0,0,0
1.3753614190878497e-05,0,0,0,0
1.3826345102556023e-05,0,0,0,0
1.382634510255645e-05,0,0,0,0
1.4173044697277422e-05,0,0,0,0
1.4173044697277859e-05,0,0,0,0
1.537340403187438e-05,0,0,0,0
1.6573763366470904e-05,0,0,0,0
1.7774122701067425e-05,0,0,0,0
1.8974482035663946e-05,0,0,0,0
2.0174841370260471e-05,0,0,0,0
2.1375200704856991e-05,0,0,0,0
2.2575560039453512e-05,0,0,0,0
2.3775919374050037e-05,0,0,0,0
2.4135309348249306e-05,0,0,0,0
2.4135309348250017e-05,0,0,0,0
2.4482036611390047e-05,0,0,0,0
2.4482036611390772e-05,0,0,0,0
2.566834377085217e-05,1.1321984953225817,0.0020974906329657415,0.011186616709150622,0.056609924766129083
2.6854650930313568e-05,2.2594407360880022,0.0083679290301992785,0.044628954827729488,0.11297203680440011
2.8040958089774965e-05,3.3803345023857094,0.018774735124028975,0.10013192066148788,0.16901672511928548
2.9227265249236366e-05,4.4935118281122541,0.033276622426548337,0.1774753196082578,0.22467559140561272
2.9412631631806698e-05,4.6666666666666643,0.035909622851345226,0.19151798854050786,0.23333333333333323
2.9412631631807566e-05,0,0.035909622851357778,0.19151798854057484,0
3.0706066265592725e-05,0,0.054558394905778476,0.29097810616415187,0
3.1999500899377887e-05,0,0.073051548579553149,0.38960825909095009,0
3.3292935533163042e-05,0,0.091362069940637392,0.48726437301673275,0
3.4438472413503903e-05,0,0.10740509522701734,0.57282717454409249,0
3.4438472413504892e-05,0,0.10740509522703112,0.57282717454416598,0
3.4785184893932094e-05,0,0.11222568001070754,0.59853696005710688,0
3.4785184893933111e-05,0,0.11222568001072165,0.59853696005718215,0
3.5980279174256091e-05,0,0.12870741535326682,0.6864395485507564,0
3.7175373454579065e-05,0,0.14496545422615859,0.77314908920617909,0
3.8370467734902046e-05,0,0.16097991244340087,0.85855953303147126,0
3.9565562015225026e-05,0,0.17673138752221579,0.94256740011848428,0
4.0760656295548007e-05,0,0.19220095868304385,1.0250717796429005,0
4.1955750575870981e-05,0,0.2073701868495437,1.1059743298642331,0
4.3150844856193962e-05,0,0.22222111464859229,1.1851792781258255,0
4.4345939136516942e-05,0,0.23673626641028478,1.2625934208548522,0
4.4747473560659156e-05,0,0.24153480379884346,1.2881856202604984,0
4.4747473560660457e-05,0,0.24153480379885894,1.288185620260581,0
4.5094200850088872e-05,0,0.24564591382840961,1.3101115404181847,0
4.5094200850090187e-05,4.0257843208789907,0.24564591382842516,1.3101115404182675,0.20128921604394956
